,count,mean,std,min,25%,50%,75%,max
grad1,2290368.0,5.0976010370058376e-05,0.00034506982249607265,-0.007755274470899496,-5.700474466123662e-05,-3.378013419055112e-05,6.230812665595212e-05,0.0038393097643097704
grad2,2290368.0,-0.00016518079019359997,0.00028647656667420525,-0.00814823842823843,-0.00023175626235992123,-0.000126257163951717,-6.393990235817264e-05,0.001626663766855153
grad3,2290368.0,-6.792813463177008e-05,0.0002598724084198581,-0.00793230036855035,-0.000131934278073965,-7.125300483564198e-05,-4.459795642255084e-05,0.0022679214748100177
ratio_1,2290368.0,1.0055944856781829,0.014265285611146572,0.9560993527929781,0.9962840220403957,1.006401837687255,1.0163031621470875,1.1202115875062193
ratio_2,2290368.0,0.9706131629846773,0.02018300969120712,0.7219940201217322,0.9581388364521835,0.9675269328157396,0.9827307542612591,1.0323947285900252
ratio_3,2290368.0,0.965538281417453,0.029036780810949875,0.7201763445645661,0.945186843579186,0.9592895071546808,0.9866987669432068,1.049234340653366
beam_1,2290368.0,0.24753770694132887,0.2833780520750995,0.003394324875235871,0.04961356600201401,0.127079880978303,0.3606728754940711,7.477402083333334
beam_2,2290368.0,0.24840772266422398,0.28650969534388043,0.0032163690474269627,0.04872531759039656,0.1268587525351882,0.3613892857142857,7.337807142857143
beam_3,2290368.0,0.24480151402846592,0.2859131120776286,0.0029105462949194872,0.04669899333694663,0.12218719581648196,0.3564283783783784,7.164289189189189
