,count,mean,std,min,25%,50%,75%,max
grad1,2185984.0,5.5078800500697044e-05,0.0003539418566601409,-0.005479987980769245,-5.677038510125969e-05,-3.362319741678854e-05,6.421074318543391e-05,0.0036549543049543155
grad2,2185984.0,-0.00016457082434760388,0.0002905227640529516,-0.005719505494505483,-0.00023148888326479704,-0.0001256906686999154,-6.342887556503722e-05,0.0015956285341452688
grad3,2185984.0,-6.57346594692676e-05,0.00026517419696176354,-0.005589721650998831,-0.000131929824561403,-7.075526351179177e-05,-4.408485254493647e-05,0.0021777863777089736
ratio_1,2185984.0,1.0055542567059426,0.014393456689025448,0.9485583630641145,0.9962015194696008,1.0062943863148281,1.0163007908971835,1.2180677254022154
ratio_2,2185984.0,0.9706831821173594,0.02061166937107445,0.5326068045134122,0.9581169641241728,0.9676217737174464,0.9831460546184441,1.151806225740288
ratio_3,2185984.0,0.9656567179733134,0.02957295216464541,0.46888643466718627,0.9451625449433303,0.959525973501534,0.9870960077964868,1.124753680328349
beam_1,2185984.0,0.2511264790204656,0.28767025002798635,0.002000083317863657,0.04952145491769725,0.1275367005059453,0.3658869565217391,4.95588125
beam_2,2185984.0,0.2520693058961196,0.29094074944424353,0.0016877436719274855,0.04870452413616561,0.1271838692142394,0.3665067073170732,4.8576428571428565
beam_3,2185984.0,0.24847689426820144,0.2904003890703668,0.0009639302127698876,0.0467404054054054,0.12262465206009379,0.3620380340017437,4.733448648648649
