,count,mean,std,min,25%,50%,75%,max
grad1,2290368.0,5.07181326029042e-05,0.0003523071030331643,-0.008801785714285741,-5.6842177679134564e-05,-3.3765565515914316e-05,6.213066570411925e-05,0.0038393097643097704
grad2,2290368.0,-0.00016571508702559366,0.00029588130622643186,-0.008910093240093175,-0.000231089825220921,-0.00012604910518491111,-6.379889983415193e-05,0.001626663766855153
grad3,2290368.0,-6.833389928333406e-05,0.000269423642532535,-0.008832159090909085,-0.00013228070175438483,-7.140326575409857e-05,-4.474397022759663e-05,0.0022679214748100177
ratio_1,2290368.0,1.005594744082543,0.01418048386248702,0.9560993527929781,0.9963422007240927,1.0064156391454127,1.0162759197102162,1.1172418496357368
ratio_2,2290368.0,0.9706477606592036,0.020113189743563274,0.7051506943338174,0.9581099895188508,0.9675131044646388,0.982746702418322,1.043855043521504
ratio_3,2290368.0,0.9655681288918009,0.02890087286932021,0.7023215994046138,0.9451741688186777,0.9592716836575595,0.9867375814700097,1.049234340653366
beam_1,2290368.0,0.2485340570519889,0.2898410168253109,0.003334325137782537,0.04955484340754994,0.12732071428571431,0.3613311956521739,8.147175
beam_2,2290368.0,0.24939941176030284,0.29271338686860626,0.003171339285535913,0.04870148255574139,0.12714564024390243,0.3623196341463415,7.988742857142857
beam_3,2290368.0,0.24578148733272517,0.29186970267043977,0.002809273582818691,0.04669541083109763,0.12252556080371518,0.35754148648648654,7.795221621621621
