,count,mean,std,min,25%,50%,75%,max
grad1,2185984.0,5.308384501195066e-05,0.0003592888232212858,-0.008260069444444537,-5.732329381012919e-05,-3.36726644035443e-05,6.20890774125138e-05,0.0036506132756132853
grad2,2185984.0,-0.0001657432120259487,0.00029700788152999447,-0.008420995670995645,-0.00023262256533405443,-0.00012596880343398968,-6.342878414364303e-05,0.0015956285341452688
grad3,2185984.0,-6.727587015675276e-05,0.000272441310794849,-0.008324818840579727,-0.00013356072745803298,-7.134479271991875e-05,-4.4200097848947095e-05,0.0021777863777089736
ratio_1,2185984.0,1.0056832755415204,0.01438945261314802,0.955721858896669,0.9963816401238828,1.006455890854653,1.0163321041966968,1.2180677254022154
ratio_2,2185984.0,0.9706045347550647,0.02083718052445859,0.5326068045134122,0.9580992800798177,0.9676212660223448,0.9831113448798275,1.0323947285900252
ratio_3,2185984.0,0.9654576403078976,0.02981261786852969,0.46888643466718627,0.9451331958812454,0.9592928437258137,0.9868277081232675,1.049234340653366
beam_1,2185984.0,0.2520300253666845,0.2928073375461078,0.002000083317863657,0.04954320663425368,0.1275029479139767,0.3675065217391305,7.855141666666667
beam_2,2185984.0,0.25293715765538766,0.29581508763275544,0.0016877436719274855,0.0486810573712837,0.1273133809811184,0.3681134146341463,7.706485714285715
beam_3,2185984.0,0.24931892026030478,0.29503885435645255,0.0009639302127698876,0.04669971625900025,0.12265406120133475,0.3631405405405405,7.523578378378378
