,count,mean,std,min,25%,50%,75%,max
grad1,2290368.0,5.121962245430157e-05,0.00034650318274486266,-0.008801785714285741,-5.7166666666666656e-05,-3.363934262987296e-05,6.290718852899842e-05,0.003831902356902339
grad2,2290368.0,-0.0001660421762461861,0.0002891119117828017,-0.008910093240093175,-0.00023308539697640336,-0.00012699278038563836,-6.403932813775949e-05,0.001626663766855153
grad3,2290368.0,-6.829731900522472e-05,0.0002619053387264349,-0.008832159090909085,-0.00013254789307420875,-7.148642726231792e-05,-4.472569688252234e-05,0.0022679214748100177
ratio_1,2290368.0,1.0055520134118572,0.014243507291382271,0.9485583630641145,0.9962340457067167,1.0064221767370802,1.0162744475537997,1.1180027596640247
ratio_2,2290368.0,0.9705850303037709,0.02004946189676099,0.7642359434770687,0.9580545165031711,0.9675001908348604,0.9826123499592889,1.1814121747688453
ratio_3,2290368.0,0.9655470178567068,0.028834653705383802,0.7263351455783463,0.9452407620507459,0.9592301100210339,0.9865213137053985,1.1598951927059549
beam_1,2290368.0,0.24727274307327524,0.28435956476786894,0.003334325137782537,0.049476802699019884,0.12613150597779782,0.35848,8.147175
beam_2,2290368.0,0.2481469502630941,0.2874608086053054,0.003171339285535913,0.04863313476562069,0.12600531845236404,0.35935113636363636,7.988742857142857
beam_3,2290368.0,0.2445218854378563,0.28681486019350605,0.002809273582818691,0.04665152064149833,0.12150711496751948,0.3547625675675676,7.795221621621621
