,count,mean,std,min,25%,50%,75%,max
grad1,2185984.0,4.240809519498979e-05,0.0003942587532065081,-0.008972960372960288,-6.211805555555571e-05,-3.479352604015732e-05,6.0857983332798106e-05,0.0036549543049543155
grad2,2185984.0,-0.00017659171630029634,0.0003351099808017697,-0.008910093240093175,-0.0002430809796663395,-0.00013059592976916184,-6.361913730722066e-05,0.001572770769899953
grad3,2185984.0,-7.804009134312918e-05,0.00031475215218368944,-0.008882928571428538,-0.00014244082170904876,-7.32805295195094e-05,-4.426942318817681e-05,0.0021632634393470296
ratio_1,2185984.0,1.0058077924743898,0.01411492985770419,0.9560993527929781,0.9965661689283041,1.0066837444984378,1.0163689649949954,1.2198772203842192
ratio_2,2185984.0,0.9719390640399116,0.019870793972872114,0.5326068045134122,0.9599462013176093,0.9690400603981011,0.9835447716488286,1.0323947285900252
ratio_3,2185984.0,0.9666528260047056,0.028892203574396855,0.46888643466718627,0.9465736344035675,0.9607964760911055,0.9871845306508529,1.049234340653366
beam_1,2185984.0,0.26322752042191916,0.31278158164739517,0.002000083317863657,0.05152507053749685,0.1499911067193676,0.37476823122529646,8.147175
beam_2,2185984.0,0.2639421589624956,0.3145589915041411,0.0016877436719274855,0.0506060609582039,0.14967883051907444,0.3756108885017422,7.988742857142857
beam_3,2185984.0,0.2600852941807386,0.31262974079483613,0.0009639302127698876,0.04853080138636993,0.14489507388405382,0.3706006756756757,7.795221621621621
